"address/city","address/community","address/neighborhood","address/state","address/streetAddress","address/subdivision","address/zipcode","bathrooms","bedrooms","currency","description","latitude","livingArea","longitude","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","photos/50","photos/51","photos/52","photos/53","price","url","yearBuilt"
"Dallas",,,"TX","7510 Thistle Ln",,"75240","2","3","USD","PROPERTY TO BE PAINTED, VERSATILE FLOOR PLAN WITH 2 MASTER BEDROOMS, 1 UP, I DOWN OR COULD BE 2 BEDROOM WITH 2 LIVING AREAS REPLACED WINDOWS. LARGE FENCED YAARD ENCLOSED 2 CAR CARPORT. CONVENIENT LOCATION IN RICHARDSON ISD. ACCESS TO MAJOR HIGHWAYS, SHOPS, UTD, WHITE ROCK TRAIL. PETS ON CASE BY CASE BASIS. RESIDENTIAL SERVICE CONTRACT. NICE!","32.926313","1494","-96.777383","https://maps.googleapis.com/maps/api/streetview?location=7510+Thistle+Ln%2C+Dallas%2C+TX+75240&size=1025x768&key=AIzaSyARFMLB1na-BBWf7_R3-5YOQQaHqEJf6RQ&source=outdoor&&signature=kA9qk50iHZ7wQA8931eunSVXXI8=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1995","https://www.zillow.com/homedetails/7510-Thistle-Ln-Dallas-TX-75240/26851688_zpid/","1969"
"Dallas",,,"TX","11427 Webb Chapel Rd #11427",,"75229","3","3","USD","This 1547 square foot apartment home has 3 bedrooms and 3.0 bathrooms. This home is located at 11427 Webb Chapel Rd #11427, Dallas, TX 75229.","32.905228","1547","-96.872725","https://photos.zillowstatic.com/p_f/ISzzhd9y3bg9nx0000000000.jpg","https://photos.zillowstatic.com/p_f/ISvg04ykr14oey0000000000.jpg","https://photos.zillowstatic.com/p_f/IS7641iw685diy0000000000.jpg","https://photos.zillowstatic.com/p_f/ISzz1pzp20xfiy0000000000.jpg","https://photos.zillowstatic.com/p_f/ISrtzchjyroiiy0000000000.jpg","https://photos.zillowstatic.com/p_f/ISnayrfentvqey0000000000.jpg","https://photos.zillowstatic.com/p_f/ISrllknbl6ht8y0000000000.jpg","https://photos.zillowstatic.com/p_f/ISjfj855hy8w8y0000000000.jpg","https://photos.zillowstatic.com/p_f/ISnaadogf1dgxy0000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1695","https://www.zillow.com/homedetails/11427-Webb-Chapel-Rd-11427-Dallas-TX-75229/2077774416_zpid/",
"Dallas",,,"TX","10515 Channel Dr",,"75229","2","3","USD","LOCATION!LOCATION!LOCATION! This charming 3 bedroom 2 bath is nestled in a quiet established neighborhood in Walnut Hills! This wonderful home features laminate flooring, fresh paint and an attached 2 car garage. Bathroom is updated with fixtures. The living room boasts plenty of natural light and flows into the kitchen for easy entertaining. Ample amount of cabinets in the kitchen allow for plenty of storage space. Bedrooms are spacious and airy. Close to major highways and shopping. This one won't last!","32.890296","1710","-96.880065","https://photos.zillowstatic.com/p_f/ISzngkgb9xwz590000000000.jpg","https://photos.zillowstatic.com/p_f/ISrhe8y45po2690000000000.jpg","https://photos.zillowstatic.com/p_f/ISjbcwfy0hg5690000000000.jpg","https://photos.zillowstatic.com/p_f/ISb5akxrw888690000000000.jpg","https://photos.zillowstatic.com/p_f/IS3z78fls00b690000000000.jpg","https://photos.zillowstatic.com/p_f/ISvs5wweosrd690000000000.jpg","https://photos.zillowstatic.com/p_f/ISnm3ke8kkjg690000000000.jpg","https://photos.zillowstatic.com/p_f/ISni4ezb29x2e90000000000.jpg","https://photos.zillowstatic.com/p_f/ISfg18w1gcbj690000000000.jpg","https://photos.zillowstatic.com/p_f/IS7azvdvb43m690000000000.jpg","https://photos.zillowstatic.com/p_f/ISz3xjvo7wuo690000000000.jpg","https://photos.zillowstatic.com/p_f/ISrxu7di3omr690000000000.jpg","https://photos.zillowstatic.com/p_f/ISjrsvubzfeu690000000000.jpg","https://photos.zillowstatic.com/p_f/ISblqjc5v76x690000000000.jpg","https://photos.zillowstatic.com/p_f/ISfc22h5y0p5e90000000000.jpg","https://photos.zillowstatic.com/p_f/IS760qyytsg8e90000000000.jpg","https://photos.zillowstatic.com/p_f/IS3fo7uyqzxz690000000000.jpg","https://photos.zillowstatic.com/p_f/ISzzxdgspk8be90000000000.jpg","https://photos.zillowstatic.com/p_f/ISv8mvbsmrp2790000000000.jpg","https://photos.zillowstatic.com/p_f/ISn2kjtlijh5790000000000.jpg","https://photos.zillowstatic.com/p_f/ISfwh7bfeb98790000000000.jpg","https://photos.zillowstatic.com/p_f/ISrtv1yllc0ee90000000000.jpg","https://photos.zillowstatic.com/p_f/IS7qfvs8a31b790000000000.jpg","https://photos.zillowstatic.com/p_f/ISzjdja26vsd790000000000.jpg","https://photos.zillowstatic.com/p_f/ISrdb7sv1nkg790000000000.jpg","https://photos.zillowstatic.com/p_f/ISjntpffh4sge90000000000.jpg","https://photos.zillowstatic.com/p_f/ISbhrdx8dwjje90000000000.jpg","https://photos.zillowstatic.com/p_f/ISj79v9pxecj790000000000.jpg","https://photos.zillowstatic.com/p_f/IS3bp1f29obme90000000000.jpg","https://photos.zillowstatic.com/p_f/ISb17jrit64m790000000000.jpg","https://photos.zillowstatic.com/p_f/IS3v479cpyvo790000000000.jpg","https://photos.zillowstatic.com/p_f/ISv4npwv4g3pe90000000000.jpg","https://photos.zillowstatic.com/p_f/ISvo2vq5lqnr790000000000.jpg","https://photos.zillowstatic.com/p_f/ISnykdep08vre90000000000.jpg","https://photos.zillowstatic.com/p_f/ISni0j8zgifu790000000000.jpg",,,,,,,,,,,,,,,,,,,,"2100","https://www.zillow.com/homedetails/10515-Channel-Dr-Dallas-TX-75229/248828029_zpid/","1958"
"Dallas",,,"TX","4047 Herschel Ave APT C",,"75219","1","1","USD","This charming and quaint town home features a spacious living space, large closets and updated finishes throughout. Parking just steps away. Washer and dryer are shared and located directly around the corner from the entry in the basement. A highly desired area close to high-end shopping, major freeways, and some of the best restaurants Dallas has to offer!","32.820827","655","-96.807495","https://photos.zillowstatic.com/p_f/ISblajlzu7s61y1000000000.jpg","https://photos.zillowstatic.com/p_f/IS7uy0hzre9ytx1000000000.jpg","https://photos.zillowstatic.com/p_f/ISznwoysn611ux1000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1095","https://www.zillow.com/homedetails/4047-Herschel-Ave-APT-C-Dallas-TX-75219/2091007194_zpid/","1981"
"Dallas",,,"TX","10637 Marsh Ln",,"75229","2","3","USD","Beautiful and fully updated house in Northwest Dallas! The open concept and the match between the original hardwood floors and modern style give you endless possibilities to make it your own. The extra large owner's suite features his and hers closets, double vanity and a custom double shower. New custom cabinets with granite counter tops in kitchen and bathrooms. The kitchen is fully equipped with brand new appliances and an extra large island. New HVAC system, electric panel, paint throughout the house, carpet, ceramic tile and much more. The big lot features a board on board tall fence for privacy, a long driveway on the side for additional parking and circular driveway for easy access to and from Marsh Ln.","32.893431","2556","-96.856561","https://photos.zillowstatic.com/p_f/ISnmfdtkyxs4lt1000000000.jpg","https://photos.zillowstatic.com/p_f/IS7u6bmwjqva3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISzn4z3qfind3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISrh2nljbafg3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISjb0b3d727j3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISb5yyk63uyl3u1000000000.jpg","https://photos.zillowstatic.com/p_f/IS3zvm20zlqo3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISvstaktudir3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISnmry1nq5au3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISfgpmjgmx1x3u1000000000.jpg","https://photos.zillowstatic.com/p_f/IS7ana1aiptz3u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISz3lyi3ehl24u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISrxim0x99d54u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISjrgaiq51584u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISbleyzj1twa4u1000000000.jpg","https://photos.zillowstatic.com/p_f/IS3fcmhdxkod4u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISv8aaz6tcgg4u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISn28yg0p48j4u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISfw5mytkwzl4u1000000000.jpg","https://photos.zillowstatic.com/p_f/IS7q3agngoro4u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISzj1yxgcgjr4u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISrtz4v8t8algt1000000000.jpg","https://photos.zillowstatic.com/p_f/ISrdzlfa88bu4u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISj7x9x3403x4u1000000000.jpg","https://photos.zillowstatic.com/p_f/ISjnxsc2p02ogt1000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3450","https://www.zillow.com/homedetails/10637-Marsh-Ln-Dallas-TX-75229/26807633_zpid/","1958"
"Dallas",,,"TX","5656 N Central Expy UNIT 804","Residences At Palomar","75206","3","2","USD","Beautiful condo with incredible downtown views located adjacent to the Highland Hotel. Open floor plan with large kitchen, breakfast bar, furnished stainless frig, granite counters, stainless appliances, furnished was and dryer in separate laundry room. Nice walk in pantry. Recessed lighting throughout with electric shades, hardwoods, carpet in bedroom areas and great closet space. Separate study perfect for a home office or TV room. Larger master suite includes dual master closets and sitting area. Secured building with concierge, valet parking, meeting area, two garage spaces, beautiful lobby and pool. Den area could be converted to a 3rd bedroom.","32.834857","2754","-96.778952","https://photos.zillowstatic.com/p_f/ISr1udc2hppa3e0000000000.jpg","https://photos.zillowstatic.com/p_f/ISzn8ui9y5eoxd0000000000.jpg","https://photos.zillowstatic.com/p_f/IS7emg4dxxofkd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISrh6i03ux5rxd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISfw1rvnw2rfmd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISjb46iwppxtxd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISz7k4m6tpgikd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISvgwsyaacwoee0000000000.jpg","https://photos.zillowstatic.com/p_f/IS7qzedhsuiimd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISb52uzplhpwxd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISzjx2vaomalmd0000000000.jpg","https://photos.zillowstatic.com/p_f/IS3zzhhjh9hzxd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISnaugg464oree0000000000.jpg","https://photos.zillowstatic.com/p_f/ISvsx5zcd192yd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISf4s4yx1wfuee0000000000.jpg","https://photos.zillowstatic.com/p_f/ISnmvtg69t05yd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISfgthyz4ls7yd0000000000.jpg","https://photos.zillowstatic.com/p_f/IS7ypsfrxn7xee0000000000.jpg","https://photos.zillowstatic.com/p_f/ISzrngxktfzzee0000000000.jpg","https://photos.zillowstatic.com/p_f/ISr1is30ph8lkd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISrll4fep7r2fe0000000000.jpg","https://photos.zillowstatic.com/p_f/ISrdvqc4ke2omd0000000000.jpg","https://photos.zillowstatic.com/p_f/IS7ar5gt0dkayd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISbpd43ng1sqkd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISjfjsw7lzi5fe0000000000.jpg","https://photos.zillowstatic.com/p_f/ISj7teuxf6uqmd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISz3ptxmw4cdyd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISvc9g2a8lbwkd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISrxmhfgsw3gyd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISb9hge1hra8fe0000000000.jpg","https://photos.zillowstatic.com/p_f/IS33f4wucj2bfe0000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,"5495","https://www.zillow.com/homedetails/5656-N-Central-Expy-UNIT-804-Dallas-TX-75206/80235813_zpid/","2005"
"Dallas",,,"TX","4233 Rosser Sq",,"75244","2","2","USD","Over sized lot at the end of street. Private ,quite landscaped back yard with fire pit, will win you over. Both bathrooms have been recently updated, with master bath having ,access to the the serene back yard, with fire pit, for a romantic evening. If you have any fur babies, they will love being in this yard with you! Recent updates: all windows, sliding doors, roof, gutters, garage door, opener, 2 remotes, water heater, furnace, and ac unit. Laminate flooring in living ares, with carpet in each bedroom. This home, also boasts levoror blinds, and pleated shades for window coverings throughout You will also have access to swimming pool, tennis courts and club house. HOA fees are paid by owner.","32.920402","1229","-96.84395","https://photos.zillowstatic.com/p_f/ISf8nfmhygkz0e0000000000.jpg","https://photos.zillowstatic.com/p_f/ISzrz9gg901ldd0000000000.jpg","https://photos.zillowstatic.com/p_f/IS3znw8hp10afd0000000000.jpg","https://photos.zillowstatic.com/p_f/ISbp99cavaaied0000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2250","https://www.zillow.com/homedetails/4233-Rosser-Sq-Dallas-TX-75244/26880075_zpid/","1981"
"Dallas",,,"TX","3011 Westforest Dr",,"75229","2","2","USD","15 Minute drive to: DOWNTOWN DALLAS, ADDISON AREA, GALLERIA, LAS COLINAS/IRVING, MEDICAL CITY DALLAS, DALLAS LOVE AIRPORT. 

Cute little 2 bedroom with 2 car attached garage with quick access to Starbucks, 635, 35, North Dallas Toll and 75.

Open Showing on these days: 
Saturdays 11:30-1pm
Sundays 12-2pm

Tenant pays for utilities","32.905133","1332","-96.876242","https://photos.zillowstatic.com/p_f/ISjz21wipcc5ix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISbt0pdcl448ix1000000000.jpg","https://photos.zillowstatic.com/p_f/IS3nycv5hwvaix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISvgw0dzcondix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISn6rnoj5ebujx1000000000.jpg","https://photos.zillowstatic.com/p_f/ISnauous8gfgix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISf4sccm487jix1000000000.jpg","https://photos.zillowstatic.com/p_f/IS7yp0uf00zlix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISzrnob9wrqoix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISrllct2sjirix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISjfj0bwnbauix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISb9hospj32xix1000000000.jpg","https://photos.zillowstatic.com/p_f/IS33fcajfvtzix1000000000.jpg","https://photos.zillowstatic.com/p_f/ISjvrdv4e33iu20000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1795","https://www.zillow.com/homedetails/3011-Westforest-Dr-Dallas-TX-75229/26812295_zpid/","1983"
"Dallas",,,"TX","5255 Miller Ave",,"75206","1","2","USD","Charming two story duplex in the M streets neighborhood. 2 bedrooms 1 bath. Bath has been remodeled and kitchen updated. Brand new economic windows installed this October ! Property sits just A few blocks from Henderson restaurants. Recently updated hardwoods in living and dining with new carpets in the bedrooms. Wood burning fire place. Unit comes with large capacity washer dryer, and black/stainless appliances. Carport shared parking in the back, with inclosed shared yard. Accepting one small dog upon approval, and do not prefer cats. Minimum lease is one year. * Showings will not be possible until Mid October, but we do have very clear video of unit to share if anyone prefers to see. Please contact Kristine for more information. Thank you.

Tenants pay utilities as well as shares yard maintenance","32.821578","1320","-96.780083","https://photos.zillowstatic.com/p_f/ISfozzmuhbegdw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISbh7i3hgjxi5w0000000000.jpg","https://photos.zillowstatic.com/p_f/IS3b56lacbpl5w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISv43u2483ho5w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISny0ikx3v8r5w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISr1yofr82ljrw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISfsy52rzm0u5w0000000000.jpg","https://photos.zillowstatic.com/p_f/IS7ixn4od36jdw0000000000.jpg","https://photos.zillowstatic.com/p_f/IS7mwtjkvesw5w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISzbvbmh9vxldw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISzfuh1er6kz5w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISr5tz3b5npodw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISjzqnl41fhrdw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISjjm9ftun0svw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISbtob3yw69udw0000000000.jpg","https://photos.zillowstatic.com/p_f/IS3nmzkrsy0xdw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISjvvcxk4ucmrw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISbdkxwmqfsuvw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISvgkn2loqszdw0000000000.jpg","https://photos.zillowstatic.com/p_f/ISr9s5j7nyb26w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISj3qt01jq356w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISbxnhiueiv76w0000000000.jpg","https://photos.zillowstatic.com/p_f/IS3rl50oaana6w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISvkjthh62fd6w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISnehhza2u6g6w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISf8f5h4ylyi6w0000000000.jpg","https://photos.zillowstatic.com/p_f/IS72dtyxtdql6w0000000000.jpg","https://photos.zillowstatic.com/p_f/ISnaibkekik2ew0000000000.jpg","https://photos.zillowstatic.com/p_f/ISf4gz18gac5ew0000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,"1850","https://www.zillow.com/homedetails/5255-Miller-Ave-Dallas-TX-75206/26691617_zpid/","1923"
"Dallas",,,"TX","18749 Vista Del Sol",,"75287","3.5","4","USD","Stunning 4 bedroom, 3.5 bath home with updates including new AC units with smart system (2018), roof (2017) and new carpet (2020), as well as beautify granite counter tops in gourmet kitchen with stainless steel appliances and a spacious master including an updated bathroom with granite counter tops, marble tub and shower surround that feels like a retreat. Upstairs includes 3 bedrooms and spacious game room with built-in cabinets. HOA provides front yard maintenance, which along with the small yard, provides for minimal yard maintenance needs. Great centralized location within 2 miles from President George Bush Turnpike and Dallas North Tollway. The owner is the licensed realtor.","33.005718","2761","-96.834012","https://photos.zillowstatic.com/p_f/ISfob1op3xqm770000000000.jpg","https://photos.zillowstatic.com/p_f/ISfglfbmarhcz70000000000.jpg","https://photos.zillowstatic.com/p_f/ISjb0zlvgm47580000000000.jpg","https://photos.zillowstatic.com/p_f/IS7aj3tf6j9fz70000000000.jpg","https://photos.zillowstatic.com/p_f/ISb5ym3pcew9580000000000.jpg","https://photos.zillowstatic.com/p_f/ISz3hra92b1iz70000000000.jpg","https://photos.zillowstatic.com/p_f/IS3zvali86oc580000000000.jpg","https://photos.zillowstatic.com/p_f/ISrxefs2y2tkz70000000000.jpg","https://photos.zillowstatic.com/p_f/ISvsty2c4yff580000000000.jpg","https://photos.zillowstatic.com/p_f/ISjrc3awtuknz70000000000.jpg","https://photos.zillowstatic.com/p_f/ISnmrmk50q7i580000000000.jpg","https://photos.zillowstatic.com/p_f/ISblarrppmcqz70000000000.jpg","https://photos.zillowstatic.com/p_f/ISfgpa2zvhzk580000000000.jpg","https://photos.zillowstatic.com/p_f/IS3f8f9jle4tz70000000000.jpg","https://photos.zillowstatic.com/p_f/IS7anyjsr9rn580000000000.jpg","https://photos.zillowstatic.com/p_f/ISv863rch6wvz70000000000.jpg","https://photos.zillowstatic.com/p_f/ISz3lm1mn1jq580000000000.jpg","https://photos.zillowstatic.com/p_f/ISn24r86dynyz70000000000.jpg","https://photos.zillowstatic.com/p_f/ISrxiajfjtat580000000000.jpg","https://photos.zillowstatic.com/p_f/ISjrgy09fl2w580000000000.jpg","https://photos.zillowstatic.com/p_f/ISfw1fqz8qf1080000000000.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2800","https://www.zillow.com/homedetails/18749-Vista-Del-Sol-Dallas-TX-75287/26634340_zpid/","1991"
