"address/city","address/community","address/neighborhood","address/state","address/streetAddress","address/subdivision","address/zipcode","bathrooms","bedrooms","currency","description","latitude","livingArea","longitude","photos/0","photos/1","photos/2","photos/3","photos/4","photos/5","photos/6","photos/7","photos/8","photos/9","photos/10","photos/11","photos/12","photos/13","photos/14","photos/15","photos/16","photos/17","photos/18","photos/19","photos/20","photos/21","photos/22","photos/23","photos/24","photos/25","photos/26","photos/27","photos/28","photos/29","photos/30","photos/31","photos/32","photos/33","photos/34","photos/35","photos/36","photos/37","photos/38","photos/39","photos/40","photos/41","photos/42","photos/43","photos/44","photos/45","photos/46","photos/47","photos/48","photos/49","photos/50","photos/51","photos/52","photos/53","photos/54","photos/55","photos/56","photos/57","photos/58","photos/59","photos/60","photos/61","photos/62","photos/63","photos/64","photos/65","photos/66","photos/67","price","url","yearBuilt"
"Canoga Park",,,"CA","8526 Morningstar Ln",,"91304","4","5","USD","Gorgeous and spacious home! This house is located at the end of a private cul-de-sac and has 5 bedroom with four full bathrooms! It features an open floor plan living room and kitchen. There's two bedrooms located downstairs and the other three bedrooms located upstairs with a bonus loft area. The house has fully equipped with al appliances in the kitchen and washer and dryer. The corner lot has a large backyard that's low maintenance. In the two car private garage there's two Electric Vehicle charging stations with a dedicated separate meter. The house also has additional storage in the backyard, a roomy Tuff shed.","34.22555923461914","2428","-118.59132385253906","https://photos.zillowstatic.com/fp/59e4bf8bcba42df23340dc7bfa3b8394-p_f.jpg","https://photos.zillowstatic.com/fp/b282c47d1e92e3593aaf02725d082c78-p_f.jpg","https://photos.zillowstatic.com/fp/2b58bbcab123f954b67b9c927d1a52f2-p_f.jpg","https://photos.zillowstatic.com/fp/d8e7fb9e074a568d9e6d4b10774ae1d8-p_f.jpg","https://photos.zillowstatic.com/fp/739f870cf50fd3c387531c302e701939-p_f.jpg","https://photos.zillowstatic.com/fp/5a7e4771a47aa49300d8892792ed6400-p_f.jpg","https://photos.zillowstatic.com/fp/c25991a950090f1cc8161544510caf99-p_f.jpg","https://photos.zillowstatic.com/fp/a251b8d73ed4095411e6fd017869e8e2-p_f.jpg","https://photos.zillowstatic.com/fp/3dda16e1e5f9f0aadc0cf5781b4fc5a7-p_f.jpg","https://photos.zillowstatic.com/fp/a1d1be91ba22262b4ef360f22b6f43e4-p_f.jpg","https://photos.zillowstatic.com/fp/e431b28bf82c19ce19124879a799c3a5-p_f.jpg","https://photos.zillowstatic.com/fp/4b1c726b7cf10d8284ec4b76d476197f-p_f.jpg","https://photos.zillowstatic.com/fp/ebc6db77c75ddf0f9ceb1f0564093fda-p_f.jpg","https://photos.zillowstatic.com/fp/b8a25201d213ddd47f06454c50d7268f-p_f.jpg","https://photos.zillowstatic.com/fp/2c6e9fee8fa1fa8c9f3aed407c7e86b1-p_f.jpg","https://photos.zillowstatic.com/fp/877a81634f05eaa797fbff3f85659a4c-p_f.jpg","https://photos.zillowstatic.com/fp/6f73a46d2e986a2b9f702305da344f81-p_f.jpg","https://photos.zillowstatic.com/fp/c1169e20332feb7e34478b8a1e37a1a8-p_f.jpg","https://photos.zillowstatic.com/fp/1009d9005474f60f0e8006680031afea-p_f.jpg","https://photos.zillowstatic.com/fp/09fbb465002033bfb3affcd2c1457115-p_f.jpg","https://photos.zillowstatic.com/fp/2643675b49260d3826200ab1ab8b4599-p_f.jpg","https://photos.zillowstatic.com/fp/13f5fb4a4ad7e8972db58ff312a987b2-p_f.jpg","https://photos.zillowstatic.com/fp/aa85d89de07c614150c93669b771f089-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3900","https://www.zillow.com/homedetails/8526-Morningstar-Ln-Canoga-Park-CA-91304/119676934_zpid/","2012"
"Northridge",,,"CA","11557 Amalfi Way",,"91326","2.5","2","USD","Super Sharp Showplace In Gated Cortile - Porter Ranch! Very Rare One Of A Kind Detached Stand Alone Townhome In The Highly Sought After Gated Cortile Development! Looks & Feel Like Your Own Private Home! No Common Walls! Larger Double Yard For The Tract! Built In 2008! Light & Bright! This Home Rents Itself! 2 Separate Sensational Patio Yards On Both Sides Of The Townhouse! Fantastic Floor Plan! Upgrades Through Out! Upstairs Laundry! Central A/C! Upgraded Floors! Wait Till You See! Oversized 2 Car Attached Garage! Surrounded By Much More Expensive Homes! Incredible Porter Ranch Location! Minutes To The Best Shopping, Top Restaurants And All That Porter Ranch Has To Offer! Resort Like Cortile Features Sparkling Pool, Inviting Spa & BBQ! Standard Sale! Do Not Miss! Must See! Porter Ranch Living At Its Best!","34.28068161010742","1253","-118.58094787597656","https://photos.zillowstatic.com/fp/14efb00556204859b9ecfe771e813a4f-p_f.jpg","https://photos.zillowstatic.com/fp/66679723748e5a08f29fb30c06c933fd-p_f.jpg","https://photos.zillowstatic.com/fp/1353f3102a3022d90e6630fb6cae7b7c-p_f.jpg","https://photos.zillowstatic.com/fp/45a67a1024b728eaa058a9c0403fa307-p_f.jpg","https://photos.zillowstatic.com/fp/7070eb3329b86f8088171a77224137ae-p_f.jpg","https://photos.zillowstatic.com/fp/7a4d08b6b317c94435356e9b4795297c-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2875","https://www.zillow.com/homedetails/11557-Amalfi-Way-Northridge-CA-91326/95570301_zpid/","2008"
"Canoga Park",,,"CA","7638 Ducor Ave",,"91304","2","3","USD","Adorable 3 bedroom 2 bath home... PLUS an office. 1303 square foot home. This cozy home has a great granite counter kitchen with laundry area off of the kitchen. Fireplace in the living room. Dining area. Sliding door to the backyard. Linen storage in the hallway. Updated baths. Ceiling fans and air conditioning. 2 car attached direct access garage with roll up garage door. Backyard has a covered patio area and grassy area. Front yard has not grass. Due to covid, please CALL for pre-interview and to set up appointment to view. (all viewers must wear masks and adhere to covid-19 protocal, as well as sign a preview form regarding the same prior to viewing.) Available now.","34.2094841003418","1303","-118.62855529785156","https://photos.zillowstatic.com/fp/080b78c62638b93e4eb6ab58bd466c4e-p_f.jpg","https://photos.zillowstatic.com/fp/f2cd73866079da2892fe8f9cea332ffd-p_f.jpg","https://photos.zillowstatic.com/fp/b0905b1d267e997e1e88d68302dfcee5-p_f.jpg","https://photos.zillowstatic.com/fp/8631d20066bd36d8ab43dd10f099450e-p_f.jpg","https://photos.zillowstatic.com/fp/5be1f42568bb858e3c92e38be14d104c-p_f.jpg","https://photos.zillowstatic.com/fp/adad2096a2fcfc0ccca38574f8dd23be-p_f.jpg","https://photos.zillowstatic.com/fp/103939fa5b2b31956e6999b7081f7e71-p_f.jpg","https://photos.zillowstatic.com/fp/fa3a68609779ed0ccac30bd9040edf3e-p_f.jpg","https://photos.zillowstatic.com/fp/e64615497d6d4119153608809805eb55-p_f.jpg","https://photos.zillowstatic.com/fp/e0d1452d2a40e279a7c72cb12484604b-p_f.jpg","https://photos.zillowstatic.com/fp/66f7863c406d612e12bd0a3964ec7dc7-p_f.jpg","https://photos.zillowstatic.com/fp/697318368efae3c05f27eff2e9cf9b9f-p_f.jpg","https://photos.zillowstatic.com/fp/942ff386256e60130ddbea2c6c3fe709-p_f.jpg","https://photos.zillowstatic.com/fp/1f87a34ffc47f412034dca8406c27639-p_f.jpg","https://photos.zillowstatic.com/fp/44aa208e948013e76ef8ce41f6b6881f-p_f.jpg","https://photos.zillowstatic.com/fp/1fee58ced6b55fc63083f84166f3f99f-p_f.jpg","https://photos.zillowstatic.com/fp/ac923b738973b54b6b46a4fbfd04541c-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2950","https://www.zillow.com/homedetails/7638-Ducor-Ave-Canoga-Park-CA-91304/51579521_zpid/","1961"
"Chatsworth",,,"CA","10930 Remmet Ave",,"91311","2.5","2","USD","Private 2 story guest house (with it's own address) in the prime Chatsworth Trails Estates. Newly remodeled 2 bedroom, 2 1/2 bathroom with full kitchen, living room and den with laundry, private backyard and private driveway. Water, power and gas utilities and gardening service included. Looking for long term, non-smoking tenant, no pets with references. You must come and see before it's gone! Serious only, no bs. Thank you.","34.26873779296875","1512","-118.60020446777344","https://photos.zillowstatic.com/fp/a488f6703b838c7b3f8ff32138c7e89f-p_f.jpg","https://photos.zillowstatic.com/fp/07227cc28b4f03151d00a9c3e73a02f1-p_f.jpg","https://photos.zillowstatic.com/fp/fa8f5346b593a262fd43df698788a439-p_f.jpg","https://photos.zillowstatic.com/fp/4328e1e8c99ae2e840da3ee0f32fe4ae-p_f.jpg","https://photos.zillowstatic.com/fp/d3c48588373528d97709ebe33fa89304-p_f.jpg","https://photos.zillowstatic.com/fp/b39de828e23de9ce8cbf83f8c651f01b-p_f.jpg","https://photos.zillowstatic.com/fp/ecd2f832abe72a38bffca29e92bbae28-p_f.jpg","https://photos.zillowstatic.com/fp/34ecbb8217a14359c37a81234c6e9751-p_f.jpg","https://photos.zillowstatic.com/fp/ac92a8031b6d66aecb61a13a1745509d-p_f.jpg","https://photos.zillowstatic.com/fp/32e416d19f2ad8791a17d41801ed016b-p_f.jpg","https://photos.zillowstatic.com/fp/eaf5d527527f4dfed16f39e6090176f5-p_f.jpg","https://photos.zillowstatic.com/fp/1175a3606ffb809008c5f97026a34080-p_f.jpg","https://photos.zillowstatic.com/fp/2873c5bfe301bc060009b1d6f922eb78-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2800","https://www.zillow.com/homedetails/10930-Remmet-Ave-Chatsworth-CA-91311/2089160031_zpid/",
"Woodland Hills",,,"CA","6355 De Soto Ave #1585703",,"91367","1","1","USD","A LIVE LIKE YOU MEAN IT LUXURY APARTMENT COMMUNITY. OCEANO EXUDES A CHARACTER AND AMBIANCE LIKE NO OTHER. WHERE YOU LIVE DEFINES HOW YOU LIVE. REFINED WITH A LITTLE EDGE, OCEANO OFFERS INDULGENCE OF SELF AND PLEASURES FOR ALL.","34.18595886230469","775","-118.58980560302734","https://photos.zillowstatic.com/fp/6e58ffe857271a906d28e83f12c75685-p_f.jpg","https://photos.zillowstatic.com/fp/2afe6a58af12eca115f805e2a7b464d5-p_f.jpg","https://photos.zillowstatic.com/fp/6c1e132c21729983c1a0ecb235424a31-p_f.jpg","https://photos.zillowstatic.com/fp/667198fe92932ca598ccb2edbe7ca623-p_f.jpg","https://photos.zillowstatic.com/fp/1a4fe97cd6c0bce86edf85b291b2a0b7-p_f.jpg","https://photos.zillowstatic.com/fp/abee254c50afd01b0fbb6d6cbdc086be-p_f.jpg","https://photos.zillowstatic.com/fp/36a7042c6c927fd3d526a0f32af121ac-p_f.jpg","https://photos.zillowstatic.com/fp/3ae17727de083a58c7f64b0a4cd41523-p_f.jpg","https://photos.zillowstatic.com/fp/934513d91fa0b158a431e6382b05cf90-p_f.jpg","https://photos.zillowstatic.com/fp/e440f7dd579cb7c4c27a6c207b816fcd-p_f.jpg","https://photos.zillowstatic.com/fp/2cff63a66157b8148a90a65e68e15791-p_f.jpg","https://photos.zillowstatic.com/fp/5d2cb2b0144e56b38f59ef699252b97f-p_f.jpg","https://photos.zillowstatic.com/fp/66b1bf3127bb5aaa5c065ffa81be58c8-p_f.jpg","https://photos.zillowstatic.com/fp/e8450706b5d438d0b20ce5169207fc48-p_f.jpg","https://photos.zillowstatic.com/fp/1b4d756ec9e9cd0c08b54e3900f45581-p_f.jpg","https://photos.zillowstatic.com/fp/0f8bb57cf3e94af72df518f6d16a01e9-p_f.jpg","https://photos.zillowstatic.com/fp/73058a86cedc7dfad49e5719721b9d4c-p_f.jpg","https://photos.zillowstatic.com/fp/d50cd13fb199fa9f4d3c4abdb1972204-p_f.jpg","https://photos.zillowstatic.com/fp/16cad8e07470f599dc9cd0f0c8b8f976-p_f.jpg","https://photos.zillowstatic.com/fp/869f18157177ef457f92204e13b28deb-p_f.jpg","https://photos.zillowstatic.com/fp/c5bba395ee1e1138032f2666b4b8d2f7-p_f.jpg","https://photos.zillowstatic.com/fp/01dad930c7e484950d23ac8e01a4a891-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2208","https://www.zillow.com/homedetails/6355-De-Soto-Ave-1585703-Woodland-Hills-CA-91367/2102304326_zpid/",
"West Hills",,,"CA","8748 Farralone Ave",,"91304","3","5","USD","Beautifullly remodeled house fully furnished, in excelent neighborhood, located on the top of the hills with panoramic views of montaines and city lights! 1st time on the market for rent! Security sysytem, central air conditioning and heating, Travertine and cherry hardwood flooring, two fire places in living room and family room! Olympic size pool with diving board, park like backyard, completely landscaped with automatic sprinklers. Newly remodeled bathroom, marbel floor and walls & New whirlpool tub, hot water circulation pump makes instant hot water availble at all faucets and showers for comfort and water saving! (NO text message please.)

Insurance company accommodation welcome.","34.22991943359375","2570","-118.61034393310547","https://photos.zillowstatic.com/fp/0e481318365bf148b690aaa8fbd0b394-p_f.jpg","https://photos.zillowstatic.com/fp/1b51cf6a64f2e77c08d9cb36e625d63c-p_f.jpg","https://photos.zillowstatic.com/fp/06e07fcaf5003dc8ed12722f40b9d1d9-p_f.jpg","https://photos.zillowstatic.com/fp/84d494da3f52f570cf1931153a677b42-p_f.jpg","https://photos.zillowstatic.com/fp/9f89dd2f5d56b190e942fd567caa490d-p_f.jpg","https://photos.zillowstatic.com/fp/04ec38d2466088aa392bc60b8899e51a-p_f.jpg","https://photos.zillowstatic.com/fp/c20d4a4337cf00f40990cd3d762fe5e2-p_f.jpg","https://photos.zillowstatic.com/fp/9fd9b87381afbf2acbdc2a75d433238a-p_f.jpg","https://photos.zillowstatic.com/fp/0748fa31386a80bacbd02a68f2aab5b6-p_f.jpg","https://photos.zillowstatic.com/fp/103bbdb4596042bca049a694b1167987-p_f.jpg","https://photos.zillowstatic.com/fp/48e569edcba87c81c16e15cf57ba8953-p_f.jpg","https://photos.zillowstatic.com/fp/30d8ff47e82d7c8c15105e6f739a2fa3-p_f.jpg","https://photos.zillowstatic.com/fp/e9eef79a0f3b1a239d1891349379931f-p_f.jpg","https://photos.zillowstatic.com/fp/5ca3eb5697c3552c16f955a2c86f8e0a-p_f.jpg","https://photos.zillowstatic.com/fp/4fb48b41836357ca331f8a709ed284f7-p_f.jpg","https://photos.zillowstatic.com/fp/c8ed82b97ffadeb6d16e51274eaff8e5-p_f.jpg","https://photos.zillowstatic.com/fp/881c7b993a66cfd5ba9691fb1786dba5-p_f.jpg","https://photos.zillowstatic.com/fp/5555c432665929e9b0633a31024ff969-p_f.jpg","https://photos.zillowstatic.com/fp/338747e4f0bc4822647447f0dd4e2798-p_f.jpg","https://photos.zillowstatic.com/fp/0f538b8d5b2e7dcc4a9510e95511c4c3-p_f.jpg","https://photos.zillowstatic.com/fp/92debac8ff803496e5a7a259dd0699b7-p_f.jpg","https://photos.zillowstatic.com/fp/334a6e95e22ae68c05e8439c1e12a84a-p_f.jpg","https://photos.zillowstatic.com/fp/b1651e1d6a7cfee79b40f28835992d4a-p_f.jpg","https://photos.zillowstatic.com/fp/a1ae4ddb673184d2017a99a9271eb49c-p_f.jpg","https://photos.zillowstatic.com/fp/ea112c2e2ce80de2275cb98464f05853-p_f.jpg","https://photos.zillowstatic.com/fp/988f4c338d30eda66508c40dd036026c-p_f.jpg","https://photos.zillowstatic.com/fp/70cbbe23caf0878f751f396322c3426d-p_f.jpg","https://photos.zillowstatic.com/fp/b1e85d655ea07906131308064c7fe92b-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5950","https://www.zillow.com/homedetails/8748-Farralone-Ave-West-Hills-CA-91304/51576756_zpid/","1962"
"Los angeles",,,"CA","10065 De Soto Ave UNIT 212",,"91311","1.5","2","USD","2 story Chatsworth townhouse in a nice complex with Basketball/Tennis Court & sparkling pool. Convenient location. Interior unit. Beautifully manicured grounds. The unit features master bedrooms upstairs including one with a view of the mountains. Dining area off kitchen with ceiling fan & slider to the private rear patio. The kitchen features a breakfast bar & lots of cabinets. Convenient location near schools, restaurants, markets, transportation, etc. 

* 2 Bedrooms and two Bathrooms
* Two levels. 911 Sq. Ft. 
* Huge kitchen with new appliances and beautiful cabinets with lots of storage space and dining area in the kitchen and outside the kitchen with light in both places. 
* Big closets with lots of storage space. 
* New windows with blinds.
* Central air conditioning and heat. 
* Secure parking spaces with security gates.
* Beautiful building with a nice swimming pool.
* Basketball/Tennis court.
* There are award-winning schools, Chatsworth High at the front of the building and Lawrence Middle School at the back of the building.
* There is a gate to go to the Lawrence Middle School back of the building.
* Small dog ok with extra rent.

Owner pays water, trash, sewer","34.2531623840332","911","-118.58875274658203","https://photos.zillowstatic.com/fp/91e8b22839a3a7eda9bc124ceb48b039-p_f.jpg","https://photos.zillowstatic.com/fp/0f6d55d9ac376cf6b7400c231c543c15-p_f.jpg","https://photos.zillowstatic.com/fp/4260c6dcc89e2a245891c82081f2bdd3-p_f.jpg","https://photos.zillowstatic.com/fp/66bd9043dcf7e3ce6154891279bd1a6d-p_f.jpg","https://photos.zillowstatic.com/fp/d7fbaee21fdee7e237ed8fb2634fa055-p_f.jpg","https://photos.zillowstatic.com/fp/417f6012a9c36d2dd9ee02a118b1b6cd-p_f.jpg","https://photos.zillowstatic.com/fp/ebcfd8eacd4bd91a71bc0a2a85112981-p_f.jpg","https://photos.zillowstatic.com/fp/97e00d822d63201f1a6afd6d776c6333-p_f.jpg","https://photos.zillowstatic.com/fp/835f4c9612efb64b0b39d7bef67d45de-p_f.jpg","https://photos.zillowstatic.com/fp/4d6db5c1a5f2c30fb51e2aeee02cd373-p_f.jpg","https://photos.zillowstatic.com/fp/a051adc99d8e5f2985d088aa26bbdcd0-p_f.jpg","https://photos.zillowstatic.com/fp/5cd3554944ed6eb278a3e0990925c625-p_f.jpg","https://photos.zillowstatic.com/fp/1a80a3721753df21124c9112d3b9eb5f-p_f.jpg","https://photos.zillowstatic.com/fp/77301d7a5c0bd54372f8bc07e913a9ad-p_f.jpg","https://photos.zillowstatic.com/fp/5fdf741bc269494532379eff9a0b590c-p_f.jpg","https://photos.zillowstatic.com/fp/2fc9abf28d5dec039488169ecaf69eaa-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2100","https://www.zillow.com/homedetails/10065-De-Soto-Ave-UNIT-212-Los-Angeles-CA-91311/20171368_zpid/","1963"
"Northridge",,,"CA","20244 Pienza Ln",,"91326","3","2","USD","Beautiful detached townhouse located in the prestigious Cortile /Tuscany development in Porter Ranch, with easy access to prime shopping at the new Vineyards with AMC Theater (opening soon), restaurants, Whole Foods, and Nordstrom's Rack and more! Comfortable floor plan featuring 2 Bedrooms, each with their own baths, plus a downstairs guest bathroom, and open dining and living room, and a updated kitchen with granite counter tops, tons of cabinet space plus a pantry, stainless steel appliances which include stove, microwave, trash compactor, dishwasher, and refrigerator. Downstairs boasts tile and wood flooring. Convenient upstairs full laundry. The master has a large walk-in closet and private master bath with double sinks, shower & tub, and tile floors. 2nd bedroom with its own private bathroom, tile floors, tub & shower. Two patios, one off the kitchen, one off the living room. Direct access to the two car garage with custom finished floors, built-in cabinets for storage. Guest parking is conveniently close by, plus community offers pool, spa and manicured grounds. It's a must see!","34.28010940551758","1253","-118.5781478881836","https://photos.zillowstatic.com/fp/7ef5c7a5c3f434eb694afc28868cbcdc-p_f.jpg","https://photos.zillowstatic.com/fp/54ecbfc8a38d6d7c4c01607869dfddf3-p_f.jpg","https://photos.zillowstatic.com/fp/3741fd8518b14427286f10e6386df65d-p_f.jpg","https://photos.zillowstatic.com/fp/05b2166afed4016a4114bc1880c99f77-p_f.jpg","https://photos.zillowstatic.com/fp/3be2c965ef2f1358def8a27cef751577-p_f.jpg","https://photos.zillowstatic.com/fp/01dd96ee44af6fb02313e938eb79a3f1-p_f.jpg","https://photos.zillowstatic.com/fp/37c00b755ebde487800a9258652bd5ab-p_f.jpg","https://photos.zillowstatic.com/fp/b7aec163e1d8c1c14af8969a09fb686c-p_f.jpg","https://photos.zillowstatic.com/fp/3aa24ebbf485ae9707452dadaafe3d01-p_f.jpg","https://photos.zillowstatic.com/fp/1672d311f3a301e67c3879618e95ccd6-p_f.jpg","https://photos.zillowstatic.com/fp/728a61277b00bb4be212b5fda61eec4f-p_f.jpg","https://photos.zillowstatic.com/fp/1d74ac3568505c5baf987279c92e0446-p_f.jpg","https://photos.zillowstatic.com/fp/944e727b5047407501d84a3b01e16218-p_f.jpg","https://photos.zillowstatic.com/fp/f74d47140f6363c61e442be0c1020974-p_f.jpg","https://photos.zillowstatic.com/fp/f2347db9c61c9eb2e170bd421d390b2b-p_f.jpg","https://photos.zillowstatic.com/fp/c500440387ecacaeaaea944850e34dfd-p_f.jpg","https://photos.zillowstatic.com/fp/8a687e61a296e4939a35ba1ecdb5bfbf-p_f.jpg","https://photos.zillowstatic.com/fp/0f491d94f3aab70d09750c1abf3bb223-p_f.jpg","https://photos.zillowstatic.com/fp/2bad8b32ccda278c25289cf6fbfb9e11-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2895","https://www.zillow.com/homedetails/20244-Pienza-Ln-Northridge-CA-91326/113056566_zpid/","2011"
"Porter Ranch",,,"CA","20626 Lugano Way",,"91326","3","4","USD","Beautiful home located in guard gated Sorrento on a corner lot. Upgraded flooring through out, remodeled bathrooms, kitchen, a fresh coat of paint and customized walk in closets in every room are just few of the highlights in this must see property. There is also a bonus room with a built in desk. The house also has solar panels that are fully paid off and a water softer system. A second floor laundry room, with a brand new washer and dryer complete this home.

Deposit and one months rent due at signing. HOA fees are included in the rent. Tenant is responsible for all utilities and gardener. Small Pets are ok. No smoking.","34.27928924560547","2655","-118.58248901367188","https://maps.googleapis.com/maps/api/streetview?size=1025x768&location=34.27928924560547,-118.58248901367188&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&&signature=TDUjc81s-gT9UlgUwdv-UVdiXCM=",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5200","https://www.zillow.com/homedetails/20626-Lugano-Way-Porter-Ranch-CA-91326/68979656_zpid/","2005"
"Woodland Hills",,,"CA","6058 Fallbrook Ave",,"91367","2","4","USD","Completely remodeled four bedroom, two bath home in desirable Woodland Hills, comprised of 2,290 square feet. The favorable open, free-flowing layout is filled with natural light creating a bright space throughout. The large kitchen opens to the living and dining areas. The large bedrooms are showcased with ample closet space. The backyard is quiet and private with grassy areas. The home is fixated on a corner lot and is gated for ultimate privacy.","34.18083953857422","2290","-118.62295532226562","https://photos.zillowstatic.com/fp/acab8b38794b737c26831243af6c15ad-p_f.jpg","https://photos.zillowstatic.com/fp/77698aa593a7afc0141907cb1607df94-p_f.jpg","https://photos.zillowstatic.com/fp/2dd12983c4e6fef66ec994367f622337-p_f.jpg","https://photos.zillowstatic.com/fp/1686555233b15196661abf74517e02a9-p_f.jpg","https://photos.zillowstatic.com/fp/40fcd2cb0ea1d098d5c3dfe0d49e2a9a-p_f.jpg","https://photos.zillowstatic.com/fp/31541053fbfab854f2be5f0fbd4e6b42-p_f.jpg","https://photos.zillowstatic.com/fp/588a6e342489bd97d9648e2373c4208c-p_f.jpg","https://photos.zillowstatic.com/fp/d95e193b12e394f28650be8c4c1fc384-p_f.jpg","https://photos.zillowstatic.com/fp/0338d7858322ab1bd19b6537392953d6-p_f.jpg","https://photos.zillowstatic.com/fp/2ae03ed06ffabd27373f140d8443fde2-p_f.jpg","https://photos.zillowstatic.com/fp/1e93aa530bacf2201199a8d2fe24c8a7-p_f.jpg","https://photos.zillowstatic.com/fp/3ab76b42202a5444a712c385f180f659-p_f.jpg","https://photos.zillowstatic.com/fp/82286b506a8aae4cc79733abf808ee70-p_f.jpg","https://photos.zillowstatic.com/fp/a6257b45273b4c179ad808b23133d900-p_f.jpg","https://photos.zillowstatic.com/fp/11d3c644c95cee1d95cc83826cc1d8c5-p_f.jpg","https://photos.zillowstatic.com/fp/2f0e1e791935b1d7c3552a5e7ea1f644-p_f.jpg","https://photos.zillowstatic.com/fp/c746d3643894259cc2082e0258f47e84-p_f.jpg","https://photos.zillowstatic.com/fp/b12281e67f55fa7a8c684eb23793990b-p_f.jpg","https://photos.zillowstatic.com/fp/e20fb3c662e4edd2b260d1ebb3658896-p_f.jpg","https://photos.zillowstatic.com/fp/969d144adbe4f84fca05f4d47bb40c9e-p_f.jpg","https://photos.zillowstatic.com/fp/87331cae7d9619d39eba0d740d885c27-p_f.jpg","https://photos.zillowstatic.com/fp/f7eefffdd32af65c3c318b819ff0f028-p_f.jpg","https://photos.zillowstatic.com/fp/d071a34a67e86f7f7bbef1387ab8cab8-p_f.jpg","https://photos.zillowstatic.com/fp/83de49e90b362ba02ff0bf309b420157-p_f.jpg","https://photos.zillowstatic.com/fp/4d00685bafa2f8853d93cf2131d35484-p_f.jpg","https://photos.zillowstatic.com/fp/47bd78136b0897704e4b7b696534b436-p_f.jpg","https://photos.zillowstatic.com/fp/88e2b7407a9b44e964f43c870b7ce64b-p_f.jpg","https://photos.zillowstatic.com/fp/c7ebc40732e8d064c7573af26df27566-p_f.jpg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5200","https://www.zillow.com/homedetails/6058-Fallbrook-Ave-Woodland-Hills-CA-91367/19877508_zpid/","1949"
