address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
Los Angeles,CA,91304,4.0,5.0,2428.0,2012.0,3900
Los Angeles,CA,91326,2.5,2.0,1253.0,2008.0,2875
Los Angeles,CA,91304,2.0,3.0,1303.0,1961.0,2950
Los Angeles,CA,91311,2.5,2.0,1512.0,,2800
Los Angeles,CA,91367,1.0,1.0,775.0,,2208
Los Angeles,CA,91304,3.0,5.0,2570.0,1962.0,5950
Los Angeles,CA,91311,1.5,2.0,911.0,1963.0,2100
Los Angeles,CA,91326,3.0,2.0,1253.0,2011.0,2895
Los Angeles,CA,91326,3.0,4.0,2655.0,2005.0,5200
Los Angeles,CA,91367,2.0,4.0,2290.0,1949.0,5200
Los Angeles,CA,91367,2.5,3.0,1764.0,1975.0,3650
Los Angeles,CA,91367,4.0,4.0,3100.0,1948.0,7500
Los Angeles,CA,91326,3.0,2.0,1122.0,2004.0,2950
Los Angeles,CA,91335,2.0,2.0,1200.0,,2650
Los Angeles,CA,91326,2.5,2.0,1253.0,2007.0,2895
Los Angeles,CA,91335,1.0,,500.0,,1300
Los Angeles,CA,91311,2.0,2.0,1134.0,1939.0,2700
Los Angeles,CA,91304,2.0,3.0,1200.0,,3150
Los Angeles,CA,91307,2.0,3.0,1570.0,1960.0,3750
Los Angeles,CA,91307,2.0,3.0,1269.0,1960.0,3400
Los Angeles,CA,91335,1.0,1.0,500.0,2020.0,1850
Los Angeles,CA,91326,5.0,5.0,3339.0,2006.0,5200
Los Angeles,CA,91303,2.0,3.0,1710.0,1980.0,2850
Los Angeles,CA,91304,2.0,4.0,1570.0,1959.0,3249
Los Angeles,CA,91335,2.0,3.0,1706.0,1968.0,3500
Los Angeles,CA,91335,2.0,4.0,1964.0,1955.0,3850
Los Angeles,CA,91303,1.0,1.0,,,1400
Los Angeles,CA,91303,3.0,4.0,1814.0,1954.0,4450
Los Angeles,CA,91311,2.0,3.0,1658.0,1978.0,3900
Los Angeles,CA,91326,2.5,3.0,2235.0,1987.0,3700
Los Angeles,CA,91303,1.0,,,,1240
Los Angeles,CA,91367,1.0,1.0,400.0,1967.0,1995
Los Angeles,CA,91307,1.0,2.0,1600.0,1959.0,2600
Los Angeles,CA,91335,1.0,1.0,,,1700
Los Angeles,CA,91306,1.0,2.0,925.0,,1750
Los Angeles,CA,91335,3.0,4.0,1767.0,2001.0,3200
Los Angeles,CA,91326,3.5,4.0,2075.0,1971.0,4400
Los Angeles,CA,91306,1.0,1.0,595.0,1947.0,1400
Los Angeles,CA,91326,3.0,3.0,1563.0,2006.0,3600
Los Angeles,CA,91304,2.0,2.0,901.0,1976.0,1999
Los Angeles,CA,91311,2.0,2.0,1083.0,2009.0,2294
Los Angeles,CA,91311,1.0,2.0,797.0,,1850
Los Angeles,CA,91306,2.0,3.0,1461.0,1960.0,2900
Los Angeles,CA,91304,2.0,3.0,1160.0,1957.0,3000
Los Angeles,CA,91307,2.0,3.0,1570.0,1958.0,3750
Los Angeles,CA,91335,1.0,1.0,700.0,,1495
Los Angeles,CA,91311,2.0,2.0,701.0,1985.0,2500
Los Angeles,CA,91303,3.0,3.0,1198.0,,3495
Los Angeles,CA,91306,2.0,4.0,1362.0,1954.0,3600
Los Angeles,CA,91304,2.0,4.0,2069.0,1976.0,3600
Los Angeles,CA,91335,2.0,2.0,,,1795
Los Angeles,CA,91306,1.0,1.0,525.0,,1500
Los Angeles,CA,91303,1.0,1.0,,,1495
Los Angeles,CA,91326,3.0,3.0,1399.0,2008.0,3275
Los Angeles,CA,91335,2.0,3.0,,,2800
Los Angeles,CA,91307,2.0,3.0,1300.0,1959.0,3100
Los Angeles,CA,91326,2.5,3.0,1934.0,1988.0,4650
Los Angeles,CA,91303,1.0,2.0,,,1745
Los Angeles,CA,91326,3.0,2.0,1194.0,2010.0,3325
Los Angeles,CA,91311,1.0,1.0,,,1650
Los Angeles,CA,91326,3.0,3.0,2235.0,1987.0,3995
Los Angeles,CA,91311,3.0,3.0,1486.0,1979.0,2700
Los Angeles,CA,91306,2.0,2.0,1198.0,,2750
Los Angeles,CA,91324,2.0,3.0,1160.0,1958.0,2995
Los Angeles,CA,91303,2.0,2.0,1100.0,1956.0,2500
Los Angeles,CA,91304,3.0,4.0,1841.0,1957.0,3100
Los Angeles,CA,91304,2.0,4.0,1380.0,1959.0,3300
Los Angeles,CA,91306,2.0,2.0,884.0,1971.0,2100
Los Angeles,CA,91311,2.5,3.0,1711.0,1980.0,3000
Los Angeles,CA,91335,2.0,3.0,1258.0,1955.0,3200
Los Angeles,CA,91306,2.0,4.0,1362.0,1954.0,2950
Los Angeles,CA,91303,1.0,,,,1395
Los Angeles,CA,91304,1.0,1.0,,,1450
Los Angeles,CA,91335,2.0,3.0,1404.0,1953.0,3145
Los Angeles,CA,91306,2.0,3.0,1522.0,1956.0,3195
Los Angeles,CA,91335,2.0,2.0,957.0,1988.0,2300
Los Angeles,CA,91303,1.0,2.0,868.0,,2200
Los Angeles,CA,91303,2.0,4.0,1837.0,,3750
Los Angeles,CA,91307,2.0,4.0,1991.0,1957.0,3600
Los Angeles,CA,91367,2.0,3.0,1618.0,1959.0,3450
Los Angeles,CA,91304,3.0,3.0,1667.0,1979.0,2650
Los Angeles,CA,91304,2.0,3.0,1350.0,1958.0,3800
Los Angeles,CA,91311,2.0,4.0,1420.0,1957.0,3200
Los Angeles,CA,91304,2.0,4.0,1800.0,1957.0,3500
Los Angeles,CA,91307,2.0,4.0,1456.0,1960.0,2950
Los Angeles,CA,91306,2.0,3.0,1400.0,1954.0,3350
Los Angeles,CA,91311,2.0,2.0,937.0,1963.0,1999
Los Angeles,CA,91335,2.5,3.0,1650.0,1932.0,2900
Los Angeles,CA,91303,1.0,1.0,623.0,,1800
Los Angeles,CA,91306,1.0,2.0,750.0,,2000
Los Angeles,CA,91335,2.5,2.0,1200.0,,2950
Los Angeles,CA,91326,2.5,3.0,1714.0,2002.0,3350
Los Angeles,CA,91306,1.0,1.0,585.0,1984.0,1600
Los Angeles,CA,91306,2.5,4.0,1850.0,1954.0,3485
Los Angeles,CA,91326,3.0,5.0,2344.0,1969.0,3799
Los Angeles,CA,91303,2.0,5.0,1886.0,1958.0,3525
Los Angeles,CA,91306,2.0,3.0,1200.0,2020.0,3600
Los Angeles,CA,91306,2.0,3.0,1276.0,2020.0,3300
Los Angeles,CA,91324,3.0,4.0,1768.0,1957.0,3950
Los Angeles,CA,91306,2.0,2.0,1100.0,,2395
Los Angeles,CA,91335,1.0,1.0,400.0,,2200
Los Angeles,CA,91324,2.5,3.0,1576.0,1979.0,3300
Los Angeles,CA,91304,3.5,5.0,3087.0,1995.0,6000
Los Angeles,CA,91367,4.5,6.0,6452.0,1991.0,14899
Los Angeles,CA,91311,1.0,1.0,670.0,1986.0,1750
Los Angeles,CA,91335,2.0,3.0,1420.0,1953.0,2999
Los Angeles,CA,91307,2.0,3.0,1789.0,1956.0,3500
Los Angeles,CA,91303,2.0,2.0,1221.0,,1920
Los Angeles,CA,91324,1.0,,440.0,,1495
Los Angeles,CA,91306,1.0,1.0,700.0,1949.0,2250
Los Angeles,CA,91335,2.0,4.0,1374.0,1977.0,2950
Los Angeles,CA,91306,2.0,2.0,1021.0,1982.0,2900
Los Angeles,CA,91304,2.0,4.0,1570.0,1959.0,3245
Los Angeles,CA,91306,1.5,4.0,1450.0,1955.0,3200
Los Angeles,CA,91304,2.0,2.0,950.0,,1995
Los Angeles,CA,91306,1.0,1.0,600.0,,1900
Los Angeles,CA,91335,2.0,2.0,800.0,,2100
Los Angeles,CA,91306,2.0,2.0,880.0,1988.0,2195
Los Angeles,CA,91335,1.0,,,,695
