address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
Seattle,WA,98104,1.0,1.0,500.0,,1100
Seattle,WA,98126,1.0,1.0,600.0,,1300
Seattle,WA,98178,2.0,3.0,2020.0,1960.0,2595
Seattle,WA,98136,1.0,1.0,654.0,2001.0,1850
Seattle,WA,98122,3.0,3.0,1665.0,,3500
Seattle,WA,98144,1.0,,350.0,,1250
Seattle,WA,98106,1.0,2.0,960.0,1947.0,2200
Seattle,WA,98118,1.0,2.0,650.0,,1695
Seattle,WA,98116,1.0,2.0,1000.0,1938.0,2300
Seattle,WA,98104,1.0,1.0,660.0,1985.0,1500
Seattle,WA,98122,3.5,4.0,1880.0,2007.0,4100
Seattle,WA,98136,2.0,2.0,1120.0,,2150
Seattle,WA,98104,1.0,,1206.0,,2295
Seattle,WA,98116,1.0,,330.0,,1345
Seattle,WA,98121,1.0,1.0,704.0,1998.0,1900
Seattle,WA,98122,3.0,3.0,1590.0,1961.0,3480
Seattle,WA,98122,2.5,3.0,1400.0,,3150
Seattle,WA,98108,1.0,1.0,,,1325
Seattle,WA,98122,1.0,1.0,900.0,,2200
Seattle,WA,98144,1.0,2.0,950.0,,1495
Seattle,WA,98122,1.0,2.0,1250.0,1915.0,2175
Seattle,WA,98136,1.0,1.0,700.0,1951.0,1795
Seattle,WA,98144,1.0,3.0,1425.0,1925.0,3395
Seattle,WA,98122,1.0,2.0,750.0,,1995
Seattle,WA,98144,1.0,2.0,900.0,,1895
Seattle,WA,98122,2.5,3.0,1900.0,,4700
Seattle,WA,98118,2.0,4.0,1900.0,1906.0,3650
Seattle,WA,98136,2.0,2.0,996.0,1988.0,2295
Seattle,WA,98118,1.0,1.0,520.0,,1150
Seattle,WA,98118,5.5,5.0,5000.0,1923.0,5995
Seattle,WA,98144,2.0,2.0,980.0,1901.0,2450
Seattle,WA,98118,1.5,3.0,1000.0,,3450
Seattle,WA,98122,1.0,1.0,700.0,1927.0,1295
Seattle,WA,98118,1.0,1.0,260.0,1971.0,900
Seattle,WA,98144,2.0,3.0,1200.0,1949.0,2950
Seattle,WA,98144,3.5,3.0,1650.0,2007.0,3200
Seattle,WA,98144,1.0,1.0,1000.0,,1850
Seattle,WA,98144,1.0,3.0,1250.0,,2270
Seattle,WA,98118,1.0,1.0,700.0,,1625
Seattle,WA,98106,2.0,3.0,1540.0,1945.0,2800
Seattle,WA,98118,1.0,1.0,700.0,,1595
Seattle,WA,98136,2.0,3.0,2360.0,1964.0,5950
Seattle,WA,98118,1.0,1.0,700.0,,1595
Seattle,WA,98108,1.0,1.0,800.0,1952.0,1295
Seattle,WA,98116,1.5,3.0,1490.0,1943.0,2975
Seattle,WA,98108,1.0,1.0,800.0,1952.0,1295
Seattle,WA,98106,2.0,3.0,1540.0,1945.0,2800
Seattle,WA,98108,1.0,2.0,1300.0,1907.0,2200
Seattle,WA,98126,2.0,2.0,1600.0,1916.0,2495
Seattle,WA,98108,1.0,2.0,1300.0,1907.0,2200
Seattle,WA,98144,1.0,2.0,700.0,,1850
Seattle,WA,98144,1.0,2.0,700.0,,1850
Seattle,WA,98106,1.5,2.0,1140.0,1918.0,2295
Seattle,WA,98118,1.0,2.0,1500.0,2015.0,1500
Seattle,WA,98118,1.0,2.0,1500.0,2015.0,1500
Seattle,WA,98116,2.0,4.0,2400.0,1947.0,3600
Seattle,WA,98122,1.0,2.0,900.0,,1395
Seattle,WA,98122,1.0,2.0,900.0,,1395
Seattle,WA,98126,1.0,2.0,1540.0,1922.0,2295
Seattle,WA,98122,2.0,2.0,1310.0,2016.0,3400
Seattle,WA,98122,2.0,2.0,1310.0,2016.0,3400
Seattle,WA,98116,1.0,2.0,1000.0,,1950
Seattle,WA,98125,1.0,1.0,800.0,,1250
Seattle,WA,98144,1.0,2.0,1100.0,,2200
Seattle,WA,98144,1.0,2.0,1100.0,,2200
Seattle,WA,98116,2.0,2.0,1368.0,1990.0,3450
Seattle,WA,98118,1.0,1.0,875.0,,1480
Seattle,WA,98133,1.0,2.0,850.0,,1500
Seattle,WA,98118,1.0,1.0,875.0,,1480
Seattle,WA,98136,3.0,3.0,1400.0,,3995
Seattle,WA,98144,1.0,,170.0,,895
Seattle,WA,98115,2.0,2.0,1013.0,2005.0,2495
Seattle,WA,98144,1.0,,170.0,,895
Seattle,WA,98116,3.0,4.0,2400.0,1931.0,5500
Seattle,WA,98144,2.0,3.0,1691.0,2016.0,3895
Seattle,WA,98103,2.0,3.0,1070.0,,2095
Seattle,WA,98108,1.5,2.0,1110.0,2008.0,2500
Seattle,WA,98144,2.0,3.0,1691.0,2016.0,3895
Seattle,WA,98126,4.0,4.0,2410.0,1927.0,4200
Seattle,WA,98115,2.0,3.0,1260.0,1925.0,1250
Seattle,WA,98122,1.0,1.0,450.0,,1295
Seattle,WA,98122,1.0,1.0,450.0,,1295
Seattle,WA,98116,2.0,2.0,1080.0,,2075
Seattle,WA,98103,1.0,2.0,850.0,,1600
Seattle,WA,98126,2.0,2.0,1600.0,1916.0,2495
Seattle,WA,98108,1.5,2.0,1200.0,2015.0,2500
Seattle,WA,98108,1.5,2.0,1200.0,2015.0,2500
Seattle,WA,98126,1.0,1.0,750.0,1963.0,1250
Seattle,WA,98115,1.0,1.0,780.0,1979.0,1495
Seattle,WA,98118,2.0,2.0,1200.0,,2995
Seattle,WA,98126,1.0,,207.0,2017.0,999
Seattle,WA,98118,2.0,2.0,1200.0,,2995
Seattle,WA,98125,1.0,2.0,750.0,,1495
Seattle,WA,98116,2.0,2.0,1277.0,1976.0,2500
Seattle,WA,98144,1.0,2.0,672.0,,963
Seattle,WA,98115,2.0,2.0,1302.0,2018.0,2995
Seattle,WA,98144,1.0,2.0,672.0,,963
Seattle,WA,98146,1.0,2.0,1330.0,1924.0,1995
Seattle,WA,98126,1.0,1.0,750.0,1963.0,1250
Seattle,WA,98144,1.0,1.0,,1949.0,1795
Seattle,WA,98103,1.0,,2123.0,2018.0,1317
Seattle,WA,98116,1.0,1.0,,,1295
Seattle,WA,98144,1.0,1.0,,1949.0,1795
Seattle,WA,98144,2.5,3.0,1080.0,2008.0,2995
Seattle,WA,98103,1.0,2.0,1300.0,1916.0,2700
Seattle,WA,98144,2.5,3.0,1080.0,2008.0,2995
Seattle,WA,98116,1.0,2.0,700.0,1959.0,1575
Seattle,WA,98133,2.0,2.0,1008.0,,2250
Seattle,WA,98122,1.0,1.0,600.0,,1490
Seattle,WA,98122,1.0,1.0,600.0,,1490
Seattle,WA,98125,2.5,3.0,1590.0,2008.0,2500
Seattle,WA,98116,1.0,1.0,,,1295
Seattle,WA,98144,1.0,1.0,583.0,,1795
Seattle,WA,98116,2.5,3.0,2000.0,,4500
Seattle,WA,98115,1.0,1.0,754.0,1974.0,1500
Seattle,WA,98144,1.0,1.0,583.0,,1795
Seattle,WA,98116,2.5,3.0,2000.0,,4500
Seattle,WA,98106,1.0,,,,1020
Seattle,WA,98101,1.0,,350.0,,1095
Seattle,WA,98101,1.0,,350.0,,1095
Seattle,WA,98125,1.0,,260.0,,895
Seattle,WA,98116,1.5,3.0,1310.0,2002.0,2700
Seattle,WA,98122,1.0,1.0,600.0,,1795
Seattle,WA,98126,1.5,3.0,1200.0,1988.0,2975
Seattle,WA,98122,1.0,1.0,600.0,,1795
Seattle,WA,98106,1.0,,,,1020
Seattle,WA,98144,2.5,3.0,1400.0,2012.0,2995
Seattle,WA,98125,2.0,3.0,1600.0,,3250
Seattle,WA,98126,1.0,,7168.0,1930.0,2500
Seattle,WA,98126,1.0,,7168.0,1930.0,2500
Seattle,WA,98144,1.0,1.0,610.0,1962.0,1550
Seattle,WA,98115,1.0,1.0,700.0,,1475
Seattle,WA,98116,1.0,2.0,1780.0,,2355
Seattle,WA,98144,2.5,3.0,1400.0,2012.0,2995
Seattle,WA,98116,1.0,2.0,1780.0,,2355
Seattle,WA,98122,3.0,3.0,1340.0,2005.0,4000
Seattle,WA,98115,1.0,1.0,750.0,1952.0,1520
Seattle,WA,98122,3.0,3.0,1340.0,2005.0,4000
Seattle,WA,98126,1.0,2.0,682.0,,1495
