address/city,address/state,address/zipcode,bathrooms,bedrooms,livingArea,yearBuilt,price
San Francisco,CA,94122,1.0,2.0,,,4500
San Francisco,CA,94116,1.0,2.0,,,2950
San Francisco,CA,94121,1.0,1.0,850.0,1983.0,3599
San Francisco,CA,94122,1.0,1.0,,1946.0,1900
San Francisco,CA,94122,1.0,2.0,1200.0,,3600
San Francisco,CA,94116,1.0,2.0,1600.0,1926.0,4250
San Francisco,CA,94116,1.0,1.0,550.0,,2295
San Francisco,CA,94122,1.0,2.0,800.0,1955.0,3200
San Francisco,CA,94121,1.0,1.0,,,1780
San Francisco,CA,94116,1.0,1.0,,,2250
San Francisco,CA,94116,2.0,4.0,1450.0,1936.0,5500
San Francisco,CA,94116,1.0,2.0,1200.0,,3300
San Francisco,CA,94122,2.5,4.0,1500.0,,3700
San Francisco,CA,94116,1.0,2.0,1500.0,,3595
San Francisco,CA,94121,2.0,3.0,,1991.0,5000
San Francisco,CA,94121,1.0,1.0,700.0,1931.0,3100
San Francisco,CA,94116,1.0,2.0,905.0,1951.0,3750
San Francisco,CA,94121,1.0,2.0,1300.0,,3350
San Francisco,CA,94121,1.0,2.0,865.0,,2950
San Francisco,CA,94122,2.5,2.0,1400.0,,3900
San Francisco,CA,94121,1.0,1.0,1784.0,1922.0,1900
San Francisco,CA,94121,1.0,,300.0,,1800
San Francisco,CA,94116,1.0,2.0,1150.0,,3200
San Francisco,CA,94122,2.0,3.0,1347.0,1964.0,3500
San Francisco,CA,94122,1.5,3.0,1500.0,1923.0,4650
San Francisco,CA,94122,1.0,2.0,1000.0,,3295
San Francisco,CA,94122,2.0,3.0,1637.0,1940.0,4600
San Francisco,CA,94122,2.0,3.0,900.0,,3695
San Francisco,CA,94122,1.0,1.0,500.0,,2479
San Francisco,CA,94121,1.0,1.0,750.0,,2195
San Francisco,CA,94116,1.0,2.0,,,3595
San Francisco,CA,94122,3.0,3.0,1682.0,1941.0,5490
San Francisco,CA,94122,1.0,3.0,1282.0,1913.0,4250
San Francisco,CA,94122,1.0,1.0,,,2200
San Francisco,CA,94122,1.0,2.0,1000.0,,3600
San Francisco,CA,94116,,,765.0,1958.0,2095
San Francisco,CA,94122,1.0,,450.0,,1900
San Francisco,CA,94121,1.0,,500.0,,2050
San Francisco,CA,94116,1.5,2.0,1000.0,1987.0,3400
San Francisco,CA,94122,1.0,1.0,,,2250
San Francisco,CA,94122,3.0,3.0,1859.0,2008.0,5850
